PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: PALP										
Station name  : PALP_GPS        										
First Epoch   : 20100102 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
XYZ Reference position :  -3179627.48524  5528294.98663  -101263.11217 (Unknown)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20181001	209.907	-0.27188	-0.13639	0.00293	0.00369	0.01273	-0.046	0.046	0.034	daily
20181002	209.868	-0.27475	-0.14006	0.00342	0.00433	0.01574	-0.057	0.072	-0.037	daily
20181003	209.504	-0.27920	-0.13826	0.00285	0.00362	0.01233	-0.043	0.057	0.050	daily
20181004	209.825	-0.27153	-0.15724	0.00316	0.00411	0.01467	-0.056	0.004	0.013	daily
20181005	209.523	-0.27393	-0.14614	0.00286	0.00346	0.01175	-0.021	0.045	-0.035	daily
20181006	209.448	-0.27518	-0.14976	0.00354	0.00441	0.01588	-0.063	0.041	0.006	daily
20181007	209.493	-0.27354	-0.14577	0.00332	0.00419	0.01474	-0.025	0.095	-0.064	daily
20181008	209.732	-0.27572	-0.14215	0.00271	0.00319	0.01138	-0.046	0.018	-0.019	daily
20181009	209.315	-0.27883	-0.13218	0.00269	0.00319	0.01151	-0.036	0.034	-0.050	daily
20181010	209.777	-0.27543	-0.13895	0.00287	0.00348	0.01223	-0.059	0.030	0.014	daily
20181011	209.495	-0.27399	-0.14330	0.00277	0.00331	0.01131	-0.056	0.050	-0.005	daily
20181012	209.362	-0.27509	-0.14518	0.00252	0.00305	0.01069	-0.059	0.051	0.013	daily
20181013	209.003	-0.27624	-0.12719	0.00287	0.00359	0.01257	-0.041	0.049	-0.100	daily
20181014	209.819	-0.27280	-0.13096	0.00265	0.00326	0.01134	-0.081	0.038	-0.030	daily
20181015	209.223	-0.27758	-0.12889	0.00255	0.00316	0.01072	-0.065	0.028	-0.054	daily
20181016	209.171	-0.27826	-0.13278	0.00273	0.00340	0.01131	-0.054	0.018	-0.042	daily
20181017	209.627	-0.27504	-0.12471	0.00317	0.00406	0.01354	-0.017	-0.013	0.036	daily
20181018	209.317	-0.27160	-0.15093	0.00318	0.00386	0.01375	-0.063	0.051	-0.054	daily
20181019	209.354	-0.27307	-0.14347	0.00297	0.00375	0.01293	-0.042	0.033	-0.069	daily
20181020	209.314	-0.27554	-0.13475	0.00236	0.00321	0.00999	-0.138	0.018	-0.016	daily
20181021	209.344	-0.27474	-0.13544	0.00251	0.00326	0.01067	-0.056	0.012	-0.085	daily
20181022	209.188	-0.27374	-0.14184	0.00256	0.00336	0.01096	-0.057	0.025	-0.047	daily
20181023	209.212	-0.27547	-0.15082	0.00248	0.00322	0.01050	-0.016	-0.041	-0.054	daily
20181024	209.156	-0.27182	-0.13966	0.00286	0.00400	0.01296	-0.074	-0.061	-0.031	daily
20181025	208.929	-0.27135	-0.13717	0.00268	0.00386	0.01071	-0.103	-0.043	0.029	daily
20181026	209.177	-0.27011	-0.14321	0.00262	0.00345	0.01101	-0.028	-0.001	-0.021	daily
20181027	209.099	-0.27595	-0.14499	0.00231	0.00307	0.00960	-0.064	0.030	-0.048	daily
20181028	208.890	-0.27532	-0.12905	0.00277	0.00368	0.01151	-0.037	0.033	-0.075	daily
20181029	209.019	-0.27116	-0.13887	0.00264	0.00391	0.01045	-0.076	-0.006	-0.047	daily
20181030	208.949	-0.27244	-0.13401	0.00282	0.00380	0.01184	-0.027	0.030	-0.009	daily
20181031	209.033	-0.27694	-0.13490	0.00311	0.00390	0.01346	-0.056	0.065	-0.005	daily
20181101	209.300	-0.27602	-0.13775	0.00300	0.00397	0.01275	-0.041	-0.011	-0.091	daily
20181102	209.158	-0.27684	-0.15725	0.00299	0.00381	0.01235	-0.051	0.014	-0.006	daily
20181103	209.327	-0.27692	-0.12696	0.00268	0.00336	0.01105	-0.062	0.034	-0.017	daily
